TAG,,BO4ExtendedApron:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO4ExtendedApron:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO1LiftApron:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO1LiftApron:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO3LoadApron:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO3LoadApron:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DrafterGroup1:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DrafterGroup1:I,"","AB:ETHERNET_MODULE_INT_20Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DrafterGroup1:O,"","AB:ETHERNET_MODULE_INT_20Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DrafterGroup3:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DrafterGroup3:I,"","AB:ETHERNET_MODULE_INT_20Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DrafterGroup3:O,"","AB:ETHERNET_MODULE_INT_20Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ChutefeedVentilators:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ChutefeedVentilators:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO3ExtendedApron:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO3ExtendedApron:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OB2RP:1:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OB2RP:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OB2RP:2:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OB2RP:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OB2RP:3:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB2RP:3:I,"","","OB2RP:I.Data[3]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OB2RP:3:O,"","","OB2RP:O.Data[3]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB2RP:4:C,"","AB:1734_IE2:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OB2RP:4:I,"","AB:1734_IE2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OB2RP:5:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB2RP:5:I,"","","OB2RP:I.Data[5]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB2RP:6:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB2RP:6:I,"","","OB2RP:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB2RP:7:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB2RP:7:I,"","","OB2RP:I.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OB2RP:7:O,"","","OB2RP:O.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB2RP:8:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB2RP:8:I,"","","OB2RP:I.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OB2RP:8:O,"","","OB2RP:O.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB2RP:I,"","AB:1734_9SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OB2RP:O,"","AB:1734_9SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,Worker:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,Worker:I,"","AB:ETHERNET_MODULE_INT_20Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,Worker:O,"","AB:ETHERNET_MODULE_INT_20Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO2LoadApron:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO2LoadApron:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO5LoadApron:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,BO5LoadApron:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FeedRoll:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FeedRoll:I,"","AB:ETHERNET_MODULE_INT_20Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FeedRoll:O,"","AB:ETHERNET_MODULE_INT_20Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CRP1:1:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:2:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:3:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:3:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:4:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:4:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:5:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:5:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:6:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:6:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:7:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:7:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:8:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:8:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:9:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:9:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,CRP1:I,"","AB:1734_10SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CRP1:O,"","AB:1734_10SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,MainCylinder:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,MainCylinder:I,"","AB:ETHERNET_MODULE_INT_20Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,MainCylinder:O,"","AB:ETHERNET_MODULE_INT_20Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OB5RP:1:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OB5RP:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OB5RP:2:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OB5RP:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,OB5RP:3:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB5RP:3:I,"","","OB5RP:I.Data[3]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OB5RP:3:O,"","","OB5RP:O.Data[3]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB5RP:4:C,"","AB:1734_IE2:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OB5RP:4:I,"","AB:1734_IE2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OB5RP:5:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB5RP:5:I,"","","OB5RP:I.Data[5]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB5RP:6:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB5RP:6:I,"","","OB5RP:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB5RP:7:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB5RP:7:I,"","","OB5RP:I.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OB5RP:7:O,"","","OB5RP:O.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB5RP:8:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,OB5RP:8:I,"","","OB5RP:I.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,OB5RP:8:O,"","","OB5RP:O.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,OB5RP:I,"","AB:1734_9SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,OB5RP:O,"","AB:1734_9SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DeliveryRoll:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DeliveryRoll:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RH2LiftApron:I,"","AB:PowerFlex525V_E_3DC2426F:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RH2LiftApron:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RH2RP:1:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,RH2RP:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,RH2RP:2:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,RH2RP:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,RH2RP:3:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,RH2RP:3:I,"","","RH2RP:I.Data[3]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,RH2RP:3:O,"","","RH2RP:O.Data[3]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RH2RP:4:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,RH2RP:4:I,"","","RH2RP:I.Data[4]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RH2RP:5:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,RH2RP:5:I,"","","RH2RP:I.Data[5]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RH2RP:6:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,RH2RP:6:I,"","","RH2RP:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,RH2RP:6:O,"","","RH2RP:O.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RH2RP:7:C,"","AB:1734_DO4:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,RH2RP:7:O,"","","RH2RP:O.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RH2RP:I,"","AB:1734_8SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RH2RP:O,"","AB:1734_8SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLCCP:10:C,"","AB:1734_OE2:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLCCP:10:I,"","AB:1734_OE2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLCCP:10:O,"","AB:1734_OE2:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLCCP:11:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:11:I,"","","PLCCP:I.Data[11]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:12:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:12:I,"","","PLCCP:I.Data[12]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:13:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:13:I,"","","PLCCP:I.Data[13]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:14:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:14:I,"","","PLCCP:I.Data[14]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:15:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:15:I,"","","PLCCP:I.Data[15]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:15:O,"","","PLCCP:O.Data[15]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:16:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:16:I,"","","PLCCP:I.Data[16]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:16:O,"","","PLCCP:O.Data[16]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:17:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:17:I,"","","PLCCP:I.Data[17]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:17:O,"","","PLCCP:O.Data[17]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:18:C,"","AB:1734_DO8_NoDiag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:18:I,"","","PLCCP:I.Data[18]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:18:O,"","","PLCCP:O.Data[18]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:19:C,"","AB:1734_DO4:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PLCCP:19:O,"","","PLCCP:O.Data[19]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PLCCP:1:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
